"","max_ord","n","algorithm"
"370",22,100,"Q"
"371",40,100,"Q"
"372",24,100,"Q"
"373",30,100,"Q"
"374",31,100,"Q"
"375",27,100,"Q"
"376",31,100,"Q"
"377",42,100,"Q"
"378",34,100,"Q"
"379",35,100,"Q"
"380",32,100,"Q"
"381",34,100,"Q"
"382",45,100,"Q"
"383",29,100,"Q"
"384",27,100,"Q"
"385",39,100,"Q"
"386",25,100,"Q"
"387",41,100,"Q"
"388",33,100,"Q"
"389",41,100,"Q"
"390",39,100,"Q"
"391",68,100,"Q"
"392",60,100,"Q"
"393",48,100,"Q"
"394",62,100,"Q"
"395",50,100,"Q"
"396",63,100,"Q"
"397",65,100,"Q"
"398",59,100,"Q"
"399",71,100,"Q"
"400",65,1000,"Q"
"401",412,1000,"Q"
"402",529,1000,"Q"
"403",364,1000,"Q"
"404",224,1000,"Q"
"405",264,1000,"Q"
"406",330,1000,"Q"
"407",305,1000,"Q"
"408",543,1000,"Q"
"409",523,1000,"Q"
"410",468,1000,"Q"
"411",464,1000,"Q"
"412",772,1000,"Q"
"413",381,1000,"Q"
"414",593,1000,"Q"
"415",299,1000,"Q"
"416",407,1000,"Q"
"417",359,1000,"Q"
"418",265,1000,"Q"
"419",422,1000,"Q"
"420",438,1000,"Q"
"421",402,1000,"Q"
"422",416,1000,"Q"
"423",426,1000,"Q"
"424",385,1000,"Q"
"425",296,1000,"Q"
"426",421,1000,"Q"
"427",404,1000,"Q"
"428",347,1000,"Q"
"429",368,1000,"Q"
"430",338,1000,"Q"
"431",270,1000,"Q"
"432",207,1000,"Q"
"433",377,1000,"Q"
"434",170,1000,"Q"
"435",290,1000,"Q"
"436",232,1000,"Q"
"437",432,1000,"Q"
"438",313,1000,"Q"
"439",194,1000,"Q"
"440",359,1000,"Q"
"441",287,1000,"Q"
"442",242,1000,"Q"
"443",359,1000,"Q"
"444",277,1000,"Q"
"445",273,1000,"Q"
"446",218,1000,"Q"
"447",216,1000,"Q"
"448",395,1000,"Q"
"449",310,1000,"Q"
"450",170,1000,"Q"
"451",312,1000,"Q"
"452",331,1000,"Q"
"453",354,1000,"Q"
"454",227,1000,"Q"
"455",331,1000,"Q"
"456",345,1000,"Q"
"457",346,1000,"Q"
"458",219,1000,"Q"
"459",287,1000,"Q"
"460",455,1000,"Q"
"461",301,1000,"Q"
"462",258,1000,"Q"
"463",364,1000,"Q"
"464",351,1000,"Q"
"465",423,1000,"Q"
"466",171,1000,"Q"
"467",214,1000,"Q"
"468",289,1000,"Q"
"469",241,1000,"Q"
"470",289,1000,"Q"
"471",260,1000,"Q"
"472",231,1000,"Q"
"473",233,1000,"Q"
"474",340,1000,"Q"
"475",294,1000,"Q"
"476",229,1000,"Q"
"477",398,1000,"Q"
"478",457,1000,"Q"
"479",474,1000,"Q"
"480",387,1000,"Q"
"481",330,1000,"Q"
"482",426,1000,"Q"
"483",375,1000,"Q"
"484",258,1000,"Q"
"485",584,1000,"Q"
"486",294,1000,"Q"
"487",459,1000,"Q"
"488",369,1000,"Q"
"489",477,1000,"Q"
"490",552,1000,"Q"
"491",483,1000,"Q"
"492",447,1000,"Q"
"493",727,1000,"Q"
"494",306,1000,"Q"
"495",401,1000,"Q"
"496",323,1000,"Q"
"497",443,1000,"Q"
"498",384,1000,"Q"
"499",231,1000,"Q"
"500",221,10000,"Q"
"501",1960,10000,"Q"
"502",1670,10000,"Q"
"503",2029,10000,"Q"
"504",1276,10000,"Q"
"505",1606,10000,"Q"
"506",1442,10000,"Q"
"507",1357,10000,"Q"
"508",2053,10000,"Q"
"509",1906,10000,"Q"
"510",2159,10000,"Q"
"511",2020,10000,"Q"
"512",1838,10000,"Q"
"513",1861,10000,"Q"
"514",1574,10000,"Q"
"515",1570,10000,"Q"
"516",1755,10000,"Q"
"517",2562,10000,"Q"
"518",2366,10000,"Q"
"519",1786,10000,"Q"
"520",1927,10000,"Q"
"521",1933,10000,"Q"
"522",2120,10000,"Q"
"523",1733,10000,"Q"
"524",1418,10000,"Q"
"525",1999,10000,"Q"
"526",1519,10000,"Q"
"527",2768,10000,"Q"
"528",1487,10000,"Q"
"529",2437,10000,"Q"
"530",1882,10000,"Q"
"531",1838,10000,"Q"
"532",2017,10000,"Q"
"533",2378,10000,"Q"
"534",3492,10000,"Q"
"535",2255,10000,"Q"
"536",2397,10000,"Q"
"537",2192,10000,"Q"
"538",2575,10000,"Q"
"539",2134,10000,"Q"
"540",2640,10000,"Q"
"541",2831,10000,"Q"
"542",2305,10000,"Q"
"543",3030,10000,"Q"
"544",3330,10000,"Q"
"545",2770,10000,"Q"
"546",2042,10000,"Q"
"547",3524,10000,"Q"
"548",1693,10000,"Q"
"549",1796,10000,"Q"
"550",1479,10000,"Q"
"551",2625,10000,"Q"
"552",1624,10000,"Q"
"553",1788,10000,"Q"
"554",1486,10000,"Q"
"555",1867,10000,"Q"
"556",1840,10000,"Q"
"557",1980,10000,"Q"
"558",1544,10000,"Q"
"559",2418,10000,"Q"
"560",1798,10000,"Q"
"561",1902,10000,"Q"
"562",1744,10000,"Q"
"563",1572,10000,"Q"
"564",1597,10000,"Q"
"565",1997,10000,"Q"
"566",3147,10000,"Q"
"567",2646,10000,"Q"
"568",2820,10000,"Q"
"569",4454,10000,"Q"
"570",3411,10000,"Q"
"571",3874,10000,"Q"
"572",3048,10000,"Q"
"573",2186,10000,"Q"
"574",2898,10000,"Q"
"575",1868,10000,"Q"
"576",1388,10000,"Q"
"577",2540,10000,"Q"
"578",1755,10000,"Q"
"579",2385,10000,"Q"
"580",1564,10000,"Q"
"581",2429,10000,"Q"
"582",2168,10000,"Q"
"583",1813,10000,"Q"
"584",2072,10000,"Q"
